filename	year	genre	screenshot	ngh	name	manu	psize	ssize	msize	v1size	v2size	csize
goalx3.neo	1995	3	40	209	Goal! Goal! Goal!	Visco	200000	20000	20000	200000	0	a00000
gowcaizr.neo	1995	9	41	094	Voltage Fighter - Gowcaizer	Technos Japan	200000	20000	20000	500000	0	1000000
gpilots.neo	1991	7	42	020	Ghost Pilots	SNK	a0000	20000	20000	180000	80000	400000
gpilotsh.neo	1991	7	43	020	Ghost Pilots (AES)	SNK	a0000	20000	20000	180000	80000	400000
gpilotsp.neo	1991	7	42	000	Ghost Pilots (Prototype)	SNK	100000	20000	20000	180000	80000	400000
gururin.neo	1994	10	44	067	Gururin	Face	80000	20000	20000	80000	0	400000
ironclad.neo	1996	7	45	220	Iron Clad (prototype)	Saurus	200000	20000	20000	400000	0	1000000
ironclado.neo	1996	7	45	220	Iron Clad (prototype. bootleg)	bootleg	200000	20000	20000	400000	0	1000000
irrmaze.neo	1997	0	46	236	The Irritating Maze	SNK / Saurus	200000	20000	20000	300000	0	800000
janshin.neo	1994	6	47	048	Janshin Densetsu	Aicom	100000	20000	20000	200000	0	400000
jockeygp.neo	2001	3	48	008	Jockey Grand Prix (set 1)	Sun Amusement	100000	20000	80000	200000	0	1000000
jockeygpa.neo	2001	3	48	008	Jockey Grand Prix (set 2)	Sun Amusement	100000	20000	80000	200000	0	1000000
joyjoy.neo	1990	10	49	021	Joy Joy Kid	SNK	80000	20000	40000	80000	80000	100000
kabukikl.neo	1995	9	50	092	Kabuki Klash	Hudson	200000	20000	20000	700000	0	1000000
karnovr.neo	1994	9	51	066	Karnov's Revenge	Data East	100000	20000	20000	200000	0	c00000
kf10thep.neo	2005	9	52	5008	The King of Fighters 10th EP	bootleg	800000	20000	20000	1000000	0	4000000
kf2k2mp.neo	2002	9	53	265	The King of Fighters 2002 MP	bootleg	800000	20000	20000	1000000	0	4000000
kf2k2mp2.neo	2002	9	54	265	The King of Fighters 2002 MP2	bootleg	600000	20000	20000	1000000	0	4000000
kf2k2pla.neo	2002	9	55	265	The King of Fighters 2002 Plus2	bootleg	500000	20000	20000	1000000	0	4000000
kf2k2pls.neo	2002	9	56	265	The King of Fighters 2002 Plus	bootleg	500000	20000	20000	1000000	0	4000000
kf2k3bl.neo	2003	9	57	271	The King of Fighters 2003 (boot)	bootleg	700000	20000	20000	1000000	0	4000000
kf2k3bla.neo	2003	9	57	271	The King of Fighters 2003 (boot2	bootleg	700000	20000	20000	1000000	0	4000000
kf2k3pl.neo	2003	9	58	271	The King of Fighters 2004 Plus	bootleg	700000	20000	20000	1000000	0	4000000
kf2k3upl.neo	2003	9	58	271	The King of Fighters 2004 UP	bootleg	800000	20000	20000	1000000	0	4000000
kf2k5uni.neo	2004	9	59	275	The King of Fighters 10th Unique	bootleg	800000	20000	20000	1000000	0	4000000
kizuna.neo	1996	9	60	216	Kizuna Encounter	SNK	200000	20000	20000	800000	0	1c00000
kof10th.neo	2004	9	0	275	The King of Fighters 10th Anniv.	bootleg	800000	20000	20000	1000000	0	4000000
kof2000.neo	2000	9	63	257	The King of Fighters 2000	SNK	900000	80000	40000	1000000	0	4000000
kof2000n.neo	2000	9	63	257	The King of Fighters 2k (unenc)	SNK	500000	80000	40000	1000000	0	4000000
kof2001.neo	2001	9	64	262	The King of Fighters 2001	Eolith / SNK	500000	20000	40000	1000000	0	4000000
kof2001h.neo	2001	9	64	262	The King of Fighters 2001 (AES)	Eolith / SNK	500000	20000	40000	1000000	0	4000000
kof2002.neo	2002	9	65	265	The King of Fighters 2002	Eolith/Playmore	500000	20000	20000	1000000	0	4000000
kof2002b.neo	2002	9	65	265	The King of Fighters 2002 (boot)	bootleg	500000	20000	20000	1000000	0	4000000
kof2003.neo	2003	9	66	271	The King of Fighters 2003	SNK Playmore	900000	80000	80000	1000000	0	4000000
kof2003h.neo	2003	9	66	271	The King of Fighters 2003 (AES)	SNK Playmore	900000	80000	80000	1000000	0	4000000
kof2k4se.neo	2004	9	67	265	The King of Fighters SE 2004	bootleg	500000	20000	20000	1000000	0	4000000
kof94.neo	1994	9	68	055	The King of Fighters '94	SNK	200000	20000	20000	600000	0	1000000
kof95.neo	1995	9	69	084	The King of Fighters '95	SNK	200000	20000	20000	900000	0	1a00000
kof95a.neo	1995	9	69	084	The King of Fighters '95 (Alt)	SNK	200000	20000	20000	900000	0	1a00000
kof95h.neo	1995	9	69	084	The King of Fighters '95 (AES)	SNK	200000	20000	20000	900000	0	1a00000
kof96.neo	1996	9	70	214	The King of Fighters '96	SNK	300000	20000	20000	a00000	0	2000000
kof96h.neo	1996	9	70	214	The King of Fighters '96 (AES)	SNK	300000	20000	20000	a00000	0	2000000
kof97.neo	1997	9	71	232	The King of Fighters '97	SNK	500000	20000	20000	c00000	0	2800000
kof97h.neo	1997	9	71	232	The King of Fighters '97 (AES)	SNK	500000	20000	20000	c00000	0	2800000
kof97k.neo	1997	9	71	232	The King of Fighters '97 (Kor)	SNK	500000	20000	20000	c00000	0	2800000
kof97oro.neo	1997	9	72	232	The King of Fighters '97 Oroshi	bootleg	500000	20000	20000	c00000	0	2800000
kof97pls.neo	1997	9	73	232	The King of Fighters '97 Plus	bootleg	500000	20000	20000	c00000	0	2800000
kof98.neo	1998	9	74	242	The King of Fighters '98	SNK	600000	20000	40000	1000000	0	4000000
kof98a.neo	1998	9	74	242	The King of Fighters '98 (Set 2)	SNK	600000	20000	40000	1000000	0	4000000
kof98h.neo	1998	9	74	242	The King of Fighters '98 (AES)	SNK	500000	20000	40000	1000000	0	4000000
kof98k.neo	1998	9	74	242	The King of Fighters '98 (Kor)	SNK	600000	20000	40000	1000000	0	4000000
kof98ka.neo	1998	9	74	242	The King of Fighters '98 (Kor2)	SNK	600000	20000	40000	1000000	0	4000000
kof99.neo	1999	9	75	251	The King of Fighters '99	SNK	900000	20000	20000	e00000	0	4000000
kof99e.neo	1999	9	75	251	The King of Fighters '99 (prev)	SNK	900000	20000	20000	e00000	0	4000000
kof99h.neo	1999	9	75	251	The King of Fighters '99 (AES)	SNK	900000	20000	20000	e00000	0	4000000
kof99k.neo	1999	9	75	151	The King of Fighters '99 (Kor,A)	SNK	900000	20000	20000	e00000	0	4000000
kof99ka.neo	1999	9	75	152	The King of Fighters '99 (Kor)	SNK	500000	20000	20000	e00000	0	4000000
kof99p.neo	1999	9	75	251	The King of Fighters '99 (proto)	SNK	500000	20000	20000	e00000	0	4000000
kog.neo	1997	9	76	5232	King of Gladiator	bootleg	600000	20000	20000	c00000	0	2800000
kotm.neo	1991	9	77	016	King of the Monsters (set 1)	SNK	a0000	20000	20000	200000	0	400000
kotm2.neo	1992	9	78	039	King of the Monsters 2	SNK	100000	20000	20000	300000	0	600000
kotm2a.neo	1992	9	78	039	King of the Monsters 2 (set 2)	SNK	100000	20000	20000	300000	0	600000
kotm2p.neo	1992	9	78	039	King of the Monsters 2 (proto)	SNK	100000	20000	20000	300000	0	600000
kotmh.neo	1991	9	79	016	King of the Monsters (set 2)	SNK	a0000	20000	20000	200000	0	400000
lans2004.neo	1998	1	80	5246	Lansquenet 2004	bootleg	600000	20000	20000	a00000	0	3000000
lastblad.neo	1997	9	81	234	The Last Blade	SNK	500000	20000	20000	1000000	0	2800000
lastbladh.neo	1997	9	81	234	The Last Blade (AES)	SNK	500000	20000	20000	1000000	0	2800000
lastbld2.neo	1998	9	82	243	The Last Blade 2	SNK	500000	20000	20000	1000000	0	3000000
lasthope.neo	2005	0	0	300	Last Hope	NG:DEV.TEAM	100000	10000	20000	600000	0	1000000
lastsold.neo	1997	9	84	134	The Last Blade (Korean)	SNK	500000	20000	20000	1000000	0	2800000
lbowling.neo	1990	3	85	019	League Bowling	SNK	80000	20000	20000	100000	80000	100000
legendos.neo	1991	2	86	029	Legend of Success Joe	SNK	80000	20000	20000	100000	0	400000
lresort.neo	1992	7	87	024	Last Resort	SNK	80000	20000	20000	200000	0	300000
lresortp.neo	1992	7	87	024	Last Resort (prototype)	SNK	100000	20000	20000	200000	0	400000
magdrop2.neo	1996	10	88	221	Magical Drop II	Data East	80000	20000	20000	200000	0	800000
magdrop3.neo	1997	10	89	233	Magical Drop III	Data East	100000	20000	20000	480000	0	1000000
maglord.neo	1990	5	90	005	Magician Lord	Alpha Denshi Co.	80000	20000	40000	80000	100000	300000
maglordh.neo	1990	5	90	005	Magician Lord (AES)	Alpha Denshi Co.	80000	20000	40000	80000	100000	300000
mahretsu.neo	1990	6	91	004	Mahjong Kyo Retsuden	SNK	80000	20000	20000	100000	180000	200000
marukodq.neo	1995	8	92	206	Chibi Marukochan Deluxe Quiz	Takara	100000	20000	20000	400000	0	a00000
matrim.neo	2002	9	93	266	Matrimelee	Noise Factory	500000	80000	20000	1000000	0	4000000
matrimbl.neo	2002	9	93	266	Matrimelee (bootleg)	bootleg	500000	80000	20000	1000000	0	4000000
miexchng.neo	1997	10	94	231	Money Idol Exchanger	Face	80000	20000	20000	400000	0	600000
minasan.neo	1990	0	95	027	Minasan no Okagesamadesu!	Monolith Corp.	80000	20000	20000	100000	100000	400000
moshougi.neo	1995	0	96	203	Master of Shougi	ADK / SNK	100000	20000	20000	200000	0	400000
ms4plus.neo	2002	1	97	263	Metal Slug 4 Plus (bootleg)	bootleg	500000	20000	20000	1000000	0	3000000
ms5plus.neo	2003	1	98	268	Metal Slug 5 Plus	bootleg	500000	20000	80000	1000000	0	4000000
mslug.neo	1996	1	99	201	Metal Slug - Super Vehicle-001	Nazca	200000	20000	20000	800000	0	1000000
mslug2.neo	1998	1	100	241	Metal Slug 2	SNK	300000	20000	20000	800000	0	2000000
mslug2t.neo	1998	1	100	941	Metal Slug 2 Turbo	SNK	300000	20000	20000	800000	0	2000000
mslug3.neo	2000	1	101	256	Metal Slug 3	SNK	900000	80000	80000	1000000	0	4000000
mslug3a.neo	2000	1	101	256	Metal Slug 3 (NGM-2560, earlier)	SNK	900000	80000	80000	1000000	0	4000000
mslug3b6.neo	2000	1	102	299	Metal Slug 6 (Metal Slug 3 boot)	bootleg	500000	20000	80000	1000000	0	4000000
mslug3h.neo	2000	1	101	256	Metal Slug 3 (AES)	SNK	500000	80000	80000	1000000	0	4000000
mslug4.neo	2002	1	103	263	Metal Slug 4	Mega / Playmore	500000	80000	20000	1000000	0	3000000
mslug4h.neo	2002	1	103	263	Metal Slug 4 (AES)	Mega / Playmore	500000	80000	20000	1000000	0	3000000
mslug5.neo	2003	1	104	268	Metal Slug 5	SNK Playmore	800000	20000	80000	1000000	0	4000000
mslug5b.neo	2003	1	104	268	Metal Slug 5 (bootleg)	SNK Playmore	500000	20000	20000	1000000	0	4000000
mslug5h.neo	2003	1	104	268	Metal Slug 5 (AES)	SNK Playmore	800000	20000	80000	1000000	0	4000000
mslugx.neo	1999	1	105	250	Metal Slug X	SNK	500000	20000	20000	a00000	0	3000000
mutnat.neo	1992	2	106	014	Mutation Nation	SNK	80000	20000	20000	200000	0	400000
nam1975.neo	1990	1	107	001	NAM-1975	SNK	80000	20000	40000	80000	180000	300000
ncombat.neo	1990	2	108	009	Ninja Combat	Alpha Denshi Co.	80000	20000	20000	180000	80000	300000
ncombath.neo	1990	2	108	009	Ninja Combat (AES)	Alpha Denshi Co.	80000	20000	20000	180000	80000	300000
ncommand.neo	1992	7	109	050	Ninja Commando	Alpha Denshi Co.	100000	20000	20000	180000	0	400000
neobombe.neo	1997	10	110	093	Neo Bomberman	Hudson	100000	20000	20000	600000	0	900000
neocup98.neo	1998	3	111	244	Neo-Geo Cup '98	SNK	200000	20000	20000	600000	0	1000000
neodrift.neo	1996	4	112	213	Neo Drift Out	Visco	200000	20000	20000	400000	0	800000
neomrdo.neo	1996	1	113	207	Neo Mr. Do!	Visco	100000	20000	20000	200000	0	400000
ninjamas.neo	1996	9	114	217	Ninja Master's	ADK / SNK	300000	20000	20000	600000	0	2000000
nitd.neo	2000	1	115	260	Nightmare in the Dark	Eleven/Gavaking	80000	20000	80000	400000	0	1000000
nitdbl.neo	2001	1	116	260	Nightmare in the Dark (bootleg)	bootleg	80000	20000	80000	400000	0	800000
overtop.neo	1996	4	117	212	Over Top	ADK	200000	20000	20000	400000	0	1400000
panicbom.neo	1994	10	118	073	Panic Bomber	Eighting/Hudson	80000	20000	20000	300000	0	200000
pbobbl2n.neo	1999	10	119	248	Puzzle Bobble 2	Taito	100000	20000	20000	800000	0	a00000
pbobblen.neo	1994	10	120	083	Puzzle Bobble	Taito	80000	20000	20000	380000	0	500000
pbobblenb.neo	1994	10	120	083	Puzzle Bobble (bootleg)	bootleg	80000	20000	20000	380000	0	500000
pgoal.neo	1996	3	121	219	Pleasure Goal	Saurus	200000	20000	20000	400000	0	c00000
pnyaa.neo	2003	10	122	267	Pochi and Nyaa (Ver 2.02)	Aiky / Taito	100000	20000	80000	400000	0	1000000
pnyaaa.neo	2003	10	122	267	Pochi and Nyaa (Ver 2.00)	Aiky / Taito	100000	20000	80000	400000	0	1000000
popbounc.neo	1997	10	123	237	Pop 'n Bounce / Gapporin	Video System Co.	100000	20000	20000	200000	0	400000
preisle2.neo	1999	7	124	255	Prehistoric Isle 2	Yumekobo	500000	20000	20000	600000	0	3000000
pspikes2.neo	1994	3	125	068	Power Spikes II	Video System Co.	100000	20000	20000	300000	0	600000
pulstar.neo	1995	7	126	089	Pulstar	Aicom	300000	20000	20000	800000	0	1c00000
puzzldpr.neo	1997	10	127	235	Puzzle De Pon! R!	Taito	80000	20000	20000	80000	0	200000
puzzledp.neo	1995	10	127	202	Puzzle De Pon!	Taito	80000	20000	20000	80000	0	200000
quizdai2.neo	1992	8	128	042	Quiz Daisousa Sen part 2	SNK	100000	20000	20000	200000	0	300000
quizdais.neo	1991	8	129	023	Quiz Daisousa Sen	SNK	100000	20000	20000	100000	0	200000
quizdaisk.neo	1991	8	129	123	Quiz Daisousa Sen (Korean)	SNK	100000	20000	20000	200000	0	200000
quizkof.neo	1995	8	130	080	Quiz King of Fighters	Saurus	100000	20000	20000	600000	0	800000
quizkofk.neo	1995	8	130	080	Quiz King of Fighters (Korean)	Saurus	100000	20000	20000	600000	0	800000
ragnagrd.neo	1996	9	131	218	Ragnagard	Saurus	200000	20000	20000	800000	0	2000000
rbff1.neo	1995	9	132	095	Real Bout Fatal Fury	SNK	300000	20000	20000	c00000	0	1c00000
rbff1a.neo	1995	9	132	095	Real Bout Fatal Fury (bugfix)	SNK	300000	20000	20000	c00000	0	1c00000
rbff1k.neo	1995	9	132	195	Real Bout Fatal Fury (Korean)	SNK	300000	20000	20000	c00000	0	1c00000
rbff1ka.neo	1995	9	0	095	Real Bout Fatal Fury (KR bugfix)	SNK	300000	20000	20000	c00000	0	1c00000
rbff2.neo	1998	9	133	240	Real Bout Fatal Fury 2	SNK	500000	20000	40000	e00000	0	3000000
rbff2h.neo	1998	9	133	240	Real Bout Fatal Fury 2 (AES)	SNK	500000	20000	40000	e00000	0	3000000
rbff2k.neo	1998	9	133	140	Real Bout Fatal Fury 2 (Korean)	SNK	500000	20000	40000	e00000	0	3000000
rbffspec.neo	1996	9	134	223	Real Bout Fatal Fury Special	SNK	500000	20000	20000	c00000	0	2000000
rbffspeck.neo	1996	9	134	124	Real Bout Fatal Fury Special (K)	SNK	500000	20000	20000	c00000	0	2000000
ridhero.neo	1990	4	135	006	Riding Hero	SNK	80000	20000	40000	100000	200000	200000
ridheroh.neo	1990	4	135	006	Riding Hero (set 2)	SNK	80000	20000	40000	100000	200000	200000
roboarmy.neo	1991	2	136	032	Robo Army	SNK	80000	20000	20000	200000	0	300000
roboarmya.neo	1991	2	136	032	Robo Army (AES and MVS)	SNK	80000	20000	20000	200000	0	300000
rotd.neo	2002	9	137	264	Rage of the Dragons	Evoga / Playmore	800000	20000	20000	1000000	0	4000000
rotdh.neo	2002	9	137	264	Rage of the Dragons (AES)	Evoga / Playmore	300000	20000	20000	1000000	0	4000000
s1945p.neo	1999	7	138	254	Strikers 1945 Plus	Psikyo	500000	20000	20000	1000000	0	4000000
samsh5sp.neo	2004	9	139	272	Samurai Shodown V Special	Yuki Enterprise	800000	20000	80000	1000000	0	4000000
samsh5sph.neo	2004	9	139	272	Samurai Shodown V Special (AES)	Yuki Enterprise	800000	20000	80000	1000000	0	4000000
samsh5spho.neo	2004	9	139	272	Samurai Shodown V Sp (AES Ori)	Yuki Enterprise	800000	20000	80000	1000000	0	4000000
samsho.neo	1993	9	140	045	Samurai Shodown	SNK	200000	20000	20000	400000	0	a00000
samsho2.neo	1994	9	141	063	Samurai Shodown II	SNK	200000	20000	20000	700000	0	1000000
samsho2k.neo	1994	9	141	163	Samurai Shodown II (Korean)	SNK	200000	20000	20000	700000	0	1000000
samsho2ka.neo	1994	9	141	163	Samurai Shodown II (Korean,Alt)	SNK	200000	20000	20000	700000	0	1000000
samsho3.neo	1995	9	142	087	Samurai Shodown III	SNK	300000	20000	20000	600000	0	1a00000
samsho3h.neo	1995	9	142	087	Samurai Shodown III (AES)	SNK	300000	20000	20000	600000	0	1a00000
samsho4.neo	1996	9	143	222	Samurai Shodown IV	SNK	500000	20000	20000	a00000	0	2000000
samsho4k.neo	1996	9	143	122	Samurai Shodown IV (Korean)	SNK	500000	20000	20000	a00000	0	2000000
samsho5.neo	2003	9	144	270	Samurai Shodown V	Yuki Enterprise	800000	20000	80000	1000000	0	4000000
samsho5a.neo	2003	9	144	270	Samurai Shodown V (set 2)	Yuki Enterprise	800000	20000	80000	1000000	0	4000000
samsho5b.neo	2003	9	144	270	Samurai Shodown V (bootleg)	bootleg	800000	20000	20000	1000000	0	4000000
samsho5h.neo	2003	9	144	270	Samurai Shodown V (AES)	Yuki Enterprise	800000	20000	80000	1000000	0	4000000
samshoh.neo	1993	9	140	045	Samurai Shodown (AES)	SNK	180000	20000	20000	400000	0	900000
savagere.neo	1995	9	145	059	Savage Reign	SNK	200000	20000	20000	600000	0	1000000
sbp.neo	2004	10	146	FEDC	Super Bubble Pop	Vektorlogic	80000	20000	80000	800000	0	400000
sdodgeb.neo	1996	3	147	208	Super Dodge Ball	Technos Japan	200000	20000	20000	400000	0	c00000
sengoku.neo	1991	2	148	017	Sengoku	SNK	a0000	20000	20000	200000	0	400000
sengoku2.neo	1993	2	149	040	Sengoku 2	SNK	100000	20000	20000	300000	0	600000
sengoku3.neo	2001	2	150	261	Sengoku 3	Noise Factory	200000	20000	80000	e00000	0	2000000
sengoku3a.neo	2001	2	150	261	Sengoku 3 (set 2)	Noise Factory	200000	20000	80000	e00000	0	2000000
sengokuh.neo	1991	2	148	017	Sengoku (AES)	SNK	a0000	20000	20000	200000	0	400000
shocktr2.neo	1998	1	151	246	Shock Troopers 2	Saurus	500000	20000	20000	a00000	0	3000000
shocktro.neo	1997	1	152	238	Shock Troopers (set 1)	Saurus	500000	20000	20000	600000	0	2000000
shocktroa.neo	1997	1	152	238	Shock Troopers (set 2)	Saurus	500000	20000	20000	600000	0	2000000
socbrawl.neo	1991	3	153	031	Soccer Brawl	SNK	80000	20000	20000	200000	0	300000
socbrawlh.neo	1991	3	153	031	Soccer Brawl (AES)	SNK	80000	20000	20000	200000	0	300000
sonicwi2.neo	1994	7	154	075	Aero Fighters 2	Video System Co.	200000	20000	20000	300000	0	800000
sonicwi3.neo	1995	7	155	097	Aero Fighters 3	Video System Co.	200000	20000	20000	600000	0	c00000
spinmast.neo	1993	5	156	062	Spin Master	Data East	200000	20000	20000	100000	0	800000
ssideki.neo	1992	3	157	052	Super Sidekicks	SNK	80000	20000	20000	200000	0	600000
ssideki2.neo	1994	3	158	061	Super Sidekicks 2	SNK	100000	20000	20000	400000	0	800000
ssideki3.neo	1995	3	159	081	Super Sidekicks 3	SNK	200000	20000	20000	600000	0	c00000
ssideki4.neo	1996	3	160	215	Super Sidekicks 4	SNK	200000	20000	20000	600000	0	1400000
stakwin.neo	1995	3	161	088	Stakes Winner	Saurus	200000	20000	20000	200000	0	800000
stakwin2.neo	1996	3	162	227	Stakes Winner 2	Saurus	200000	20000	20000	800000	0	c00000
strhoop.neo	1994	3	163	079	Street Hoop	Data East	100000	20000	20000	300000	0	800000
superspy.neo	1990	2	164	011	The Super Spy	SNK	a0000	20000	40000	180000	80000	400000
svc.neo	2003	9	165	269	SNK vs. Capcom	SNK Playmore	800000	80000	80000	1000000	0	4000000
svcboot.neo	2003	9	165	269	SNK vs. Capcom (bootleg)	bootleg	800000	20000	20000	1000000	0	4000000
svcplus.neo	2003	9	166	269	SNK vs. Capcom Plus	bootleg	600000	20000	20000	1000000	0	4000000
svcplusa.neo	2003	9	166	269	SNK vs. Capcom Plus 2	bootleg	600000	20000	20000	1000000	0	4000000
svcsplus.neo	2003	9	167	269	SNK vs. Capcom Super Plus	bootleg	800000	20000	20000	1000000	0	4000000
tophuntr.neo	1994	5	168	046	Top Hunter	SNK	200000	20000	20000	400000	0	800000
tophuntrh.neo	1994	5	168	046	Top Hunter (AES)	SNK	200000	20000	20000	400000	0	800000
tpgolf.neo	1990	3	169	003	Top Player's Golf	SNK	100000	20000	20000	80000	200000	400000
trally.neo	1991	4	170	038	Thrash Rally	Alpha Denshi Co.	100000	20000	20000	180000	0	300000
turfmast.neo	1996	3	171	200	Neo Turf Masters	Nazca	200000	20000	20000	800000	0	800000
twinspri.neo	1996	10	172	224	Twinkle Star Sprites	ADK / SNK	200000	20000	20000	600000	0	a00000
twsoc96.neo	1996	3	0	086	Tecmo World Soccer '96	Tecmo	100000	20000	20000	400000	0	a00000
viewpoin.neo	1992	7	174	051	Viewpoint	Sammy / Aicom	100000	20000	20000	400000	0	600000
